Aasta,ICD10,Organ,Paikmed,Sugu,Vanusrühmad kokku,Vanus0-4,Vanus5-9,Vanus10-14,Vanus15-19,Vanus20-24,Vanus25-29,Vanus30-34,Vanus35-39,Vanus40-44,Vanus45-49,Vanus50-54,Vanus55-59,Vanus60-64,Vanus65-69,Vanus70-74,Vanus75-79,Vanus80-84,Vanus85pluss
2009,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Mehed,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2002,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2004,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
2009,C11,..Ninaneel (C11),"Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2000,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,15,0,0,0,0,0,0,0,0,0,2,1,3,3,4,2,0,0,0
2001,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,18,0,0,0,0,0,0,0,0,0,2,3,6,3,4,0,0,0,0
2002,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,10,0,0,0,0,0,0,0,0,0,1,2,2,4,0,0,1,0,0
2003,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,17,0,0,0,0,0,0,0,0,1,1,4,2,4,3,0,1,1,0
2004,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,22,0,0,0,0,0,0,0,0,0,1,4,4,4,5,2,2,0,0
2005,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,20,0,0,0,0,0,0,0,0,0,1,3,5,4,7,0,0,0,0
2006,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,15,0,0,0,0,0,0,1,0,0,0,3,0,4,3,2,2,0,0
2007,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,19,0,0,0,0,0,0,0,0,0,0,3,4,3,4,1,3,1,0
2008,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,20,0,0,0,0,0,0,0,0,0,1,2,5,6,2,3,1,0,0
2009,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Mehed,18,0,0,0,0,0,0,0,0,0,0,3,5,5,0,3,1,1,0
2000,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2003,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,C12–C13,"..Pirnsopis, alaneel (C12–C13)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2001,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,5,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0
2002,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2004,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2005,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
2006,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2009,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Mehed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2000,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2009,C14,"..Huul, suuõõs, neel (muu) (C14)","Huul, suuõõs, neel (C00–C14)",Naised,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2000,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,48,0,0,0,0,0,0,0,0,3,4,3,10,7,2,7,9,0,3
2001,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,44,0,0,0,0,0,0,0,0,0,1,5,4,8,17,6,1,0,2
2002,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,45,0,0,0,0,0,0,0,1,0,4,2,5,8,13,7,4,1,0
2003,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,38,0,0,0,0,0,0,1,0,0,2,6,6,11,5,3,2,1,1
2004,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,61,0,0,0,0,0,0,0,0,0,5,9,11,12,11,3,5,3,2
2005,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,48,0,0,0,0,0,0,0,0,0,3,9,7,3,10,8,6,1,1
2006,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,54,0,0,0,0,0,0,0,0,1,2,8,13,6,10,6,5,2,1
2007,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,49,0,0,0,0,0,0,0,0,1,1,9,6,9,8,7,5,3,0
2008,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,67,0,0,0,0,0,0,0,0,0,5,10,9,12,14,8,6,3,0
2009,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Mehed,54,0,0,0,0,0,0,0,1,0,1,7,7,7,14,10,2,4,1
2000,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,9,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3,1,0
2001,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,11,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,1,0
2002,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1
2003,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,15,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,2,0
2004,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,7,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,1
2005,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,4
2006,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,12,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,2,0,4
2007,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,13,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,2,0,1
2008,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,1,2
2009,C15,..Söögitoru (C15),Seedeelundid (C15–C26),Naised,9,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,2
2000,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,273,0,0,0,0,1,0,1,4,2,16,22,25,51,61,44,31,8,7
2001,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,226,0,0,0,0,1,0,0,7,9,9,23,23,28,43,40,24,12,7
2002,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,225,0,0,0,0,0,0,0,2,7,14,14,16,38,44,42,27,14,7
2003,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,241,0,0,0,0,0,0,0,1,10,7,17,31,39,42,36,30,22,6
2004,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,215,0,0,0,0,0,0,3,3,3,12,11,22,31,44,40,30,8,8
2005,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,228,0,0,0,0,0,1,1,5,3,12,15,22,26,46,44,31,14,8
2006,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,242,0,0,0,0,1,0,0,4,6,18,22,20,22,49,37,33,19,11
2007,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,233,0,0,0,0,0,0,1,5,4,15,13,26,28,44,42,34,16,5
2008,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,226,0,0,0,0,0,0,0,1,5,13,27,19,31,38,44,29,12,7
2009,C16,..Magu (C16),Seedeelundid (C15–C26),Mehed,211,0,0,0,0,1,1,2,2,4,7,14,29,22,38,49,23,13,6
2000,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,219,0,0,0,0,0,1,1,8,6,16,10,14,23,30,42,30,22,16
2001,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,168,0,0,0,0,0,0,2,2,2,3,20,10,14,23,33,31,14,14
2002,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,195,0,0,0,0,1,1,3,0,5,10,9,14,21,28,29,36,23,15
2003,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,196,0,0,0,0,0,1,1,2,7,7,11,9,26,23,33,39,20,17
2004,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,210,0,0,1,0,0,1,2,1,6,7,15,16,14,41,31,30,29,16
2005,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,207,0,0,0,0,0,0,1,5,4,7,11,15,15,25,46,39,28,11
2006,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,209,0,0,0,0,1,0,2,0,5,6,12,18,15,27,35,43,29,16
2007,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,189,0,0,0,1,0,0,3,3,6,2,7,11,16,37,29,32,26,16
2008,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,185,0,0,0,0,0,0,0,1,1,7,6,15,16,24,37,31,30,17
2009,C16,..Magu (C16),Seedeelundid (C15–C26),Naised,174,0,0,0,0,0,1,3,1,3,13,7,11,19,19,30,27,23,17
2000,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
2001,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2002,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,7,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,0,0
2003,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,10,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,2,0,0
2004,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2005,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2006,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
2007,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
2008,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0
2009,C17,..Peensool (C17),Seedeelundid (C15–C26),Mehed,8,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,1
2000,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0
2001,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
2002,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,12,0,0,0,0,0,0,0,0,0,3,1,1,1,2,1,2,1,0
2003,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2004,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0
2005,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,8,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,0,0
2006,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1
2007,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,0,0
2008,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,7,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,1
2009,C17,..Peensool (C17),Seedeelundid (C15–C26),Naised,17,0,0,0,0,0,0,0,0,1,1,2,1,1,5,2,3,1,0
2000,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,171,0,0,0,0,0,0,1,0,3,5,10,11,28,26,46,21,14,6
2001,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,186,0,0,0,0,0,0,1,2,6,5,15,7,23,39,49,28,8,3
2002,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,180,0,0,0,0,0,0,0,1,1,3,7,17,24,33,42,34,13,5
2003,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,162,0,0,0,0,0,0,0,1,1,5,6,17,11,39,39,27,12,4
2004,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,172,0,0,0,0,0,0,1,1,1,3,13,16,15,35,36,30,16,5
2005,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,182,0,0,0,0,0,0,0,1,1,7,5,24,26,31,35,29,15,8
2006,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,195,0,0,0,1,0,0,0,3,2,4,10,13,23,34,39,37,20,9
2007,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,231,0,0,0,0,0,0,1,1,4,4,13,18,28,48,49,37,19,9
2008,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,205,0,0,0,0,0,0,0,4,7,8,7,17,16,39,44,27,26,10
2009,C18,..Käärsool (C18),Seedeelundid (C15–C26),Mehed,204,0,0,0,0,1,0,1,2,0,2,4,17,28,29,44,45,25,6
2000,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,217,0,0,0,0,0,0,1,3,4,2,10,12,27,33,47,40,17,21
2001,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,237,0,0,0,0,0,0,0,0,7,5,8,20,22,34,61,55,11,14
2002,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,254,0,0,0,0,0,0,0,2,8,8,14,13,22,39,54,40,24,30
2003,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,220,0,0,0,0,0,0,0,0,3,7,6,9,27,36,49,40,27,16
2004,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,272,0,0,0,0,0,0,1,1,5,9,12,15,22,30,49,66,33,29
2005,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,239,0,0,0,0,0,0,0,0,4,5,11,12,33,32,43,44,32,23
2006,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,271,0,0,0,0,0,0,0,1,5,4,15,14,18,41,57,52,44,20
2007,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,247,0,0,0,0,0,0,1,2,2,8,12,22,19,33,40,49,43,16
2008,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,294,0,0,0,0,0,0,0,4,3,8,8,20,21,33,56,64,48,29
2009,C18,..Käärsool (C18),Seedeelundid (C15–C26),Naised,244,0,0,0,0,0,0,0,0,1,5,13,18,25,20,56,46,42,18
2000,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,146,0,0,0,0,0,1,0,1,1,3,9,13,24,25,37,19,8,5
2001,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,116,0,0,0,0,0,0,0,0,2,2,4,13,28,19,26,11,8,3
2002,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,132,0,0,0,0,0,0,0,3,0,4,2,14,22,27,27,21,6,6
2003,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,154,0,0,0,0,0,3,0,1,1,4,3,13,31,32,29,22,9,6
2004,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,163,0,0,0,0,0,0,0,1,1,9,7,15,23,32,30,28,13,4
2005,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,155,0,0,0,0,0,0,1,1,1,8,10,9,14,31,34,32,8,6
2006,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,154,0,0,0,0,0,0,1,0,2,3,13,10,29,24,31,26,11,4
2007,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,134,0,0,0,0,0,0,1,0,0,3,5,14,12,24,30,27,11,7
2008,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,141,0,0,0,0,0,0,0,1,0,1,6,12,19,24,36,28,8,6
2009,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Mehed,163,0,0,0,0,0,0,2,2,2,4,11,13,22,23,38,18,17,11
2000,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,146,0,0,0,0,0,0,0,3,7,3,5,9,19,18,21,34,11,16
2001,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,134,0,0,0,0,0,0,0,1,0,3,12,6,18,20,32,19,11,12
2002,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,135,0,0,0,0,0,0,0,0,3,5,7,6,14,20,36,21,11,12
2003,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,148,0,0,0,0,0,1,0,1,1,1,6,5,14,17,28,39,22,13
2004,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,154,0,0,0,0,0,0,0,1,3,7,5,18,16,25,27,26,18,8
2005,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,153,0,0,0,0,0,1,0,4,4,4,12,6,13,25,16,39,20,9
2006,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,152,0,0,0,0,0,0,1,2,1,3,6,18,21,21,20,23,21,15
2007,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,147,0,0,0,0,0,0,0,2,0,0,4,9,11,22,28,26,31,14
2008,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,137,0,0,0,0,0,0,0,2,1,6,8,4,9,18,33,31,17,8
2009,C19–C21,..Pärasool jm. (C19–C21),Seedeelundid (C15–C26),Naised,165,0,0,0,0,0,0,0,1,1,4,7,19,17,15,29,22,27,23
2000,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,39,1,0,0,0,0,0,0,0,1,1,1,6,10,7,8,3,1,0
2001,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,40,0,0,0,1,0,0,0,1,2,0,3,1,9,5,5,9,2,2
2002,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,31,0,0,0,0,0,0,1,1,0,0,3,2,5,5,9,3,0,2
2003,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,35,0,0,0,0,0,0,0,0,2,0,3,1,11,9,5,4,0,0
2004,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,47,1,0,0,0,0,0,0,0,1,3,2,4,4,8,8,7,5,4
2005,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,40,0,0,0,0,0,0,0,1,0,1,2,2,8,7,6,8,4,1
2006,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,42,0,0,0,0,0,0,0,0,3,0,3,2,5,8,8,9,3,1
2007,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,45,0,0,0,0,0,0,1,0,0,0,3,4,6,13,7,5,5,1
2008,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,50,0,0,0,0,0,0,0,2,0,2,4,8,6,7,9,4,7,1
2009,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Mehed,63,0,0,0,0,0,1,0,0,3,2,6,7,8,10,10,8,6,2
2000,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,23,0,0,0,0,0,0,0,0,0,0,2,4,3,4,3,2,1,4
2001,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,31,1,0,0,0,0,1,0,0,0,1,0,2,6,6,5,5,2,2
2002,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,39,0,2,0,0,0,0,1,0,0,1,0,1,4,5,6,12,4,3
2003,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,34,1,0,0,0,0,0,0,0,1,1,0,2,3,4,6,9,4,3
2004,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,26,0,0,0,0,0,0,0,0,1,1,1,0,4,0,3,5,8,3
2005,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,44,0,0,1,0,0,0,0,1,0,2,0,3,4,7,8,10,5,3
2006,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,39,0,0,0,0,0,0,1,0,1,1,3,3,7,2,6,6,6,3
2007,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,31,0,0,0,0,0,0,1,0,0,0,0,3,5,4,3,6,4,5
2008,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,42,0,0,0,0,0,0,0,1,1,0,3,5,4,1,7,10,8,2
2009,C22,..Maks jm. (C22),Seedeelundid (C15–C26),Naised,39,0,0,0,0,0,0,0,0,0,1,3,1,5,3,6,6,8,6
2000,C23–C24,..Sapipõis jm. (C23–C24),Seedeelundid (C15–C26),Mehed,11,0,0,0,0,0,0,0,0,1,0,1,1,1,3,1,1,1,1
2001,C23–C24,..Sapipõis jm. (C23–C24),Seedeelundid (C15–C26),Mehed,18,0,0,0,0,0,0,0,0,0,2,2,3,1,3,5,1,1,0
2002,C23–C24,..Sapipõis jm. (C23–C24),Seedeelundid (C15–C26),Mehed,18,0,0,0,0,0,0,1,0,0,0,0,2,2,5,3,3,2,0
2003,C23–C24,..Sapipõis jm. (C23–C24),Seedeelundid (C15–C26),Mehed,17,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,4,3,1
